,Dish,Meta,URL,Pic,Ingredients,Quantities,times
87,BABA GANOUSH PASTA SALAD,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/2019/6/21/baba-ganoush-pasta-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d0c99ab929138000175bba0/1578411657189/9K8A9362.jpg,"1 Bulb of Garlic
4 Aubergines
400g Rigatoni
1 Tbsp of Tahini 
1 Lemon
1 Bunch of Basil
20g Pine Nuts
210g Kalamata Olives
80g Pomegranate Seeds
1 Bunch of Mint
Olive Oil
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
88,MOB'S WILD ALASKA SALMON BURGER,SUMMER MOB,http://www.mobkitchen.co.uk/recipes/wild-alaska-salmon-burger,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d08fb69c1bf460001cd21cd/1561652190061/9K8A8740.jpg,"6 Tablespoons of Mayonnaise 
Teriyaki Marinade
2 Knobs of Grated Ginger
4 Fillets of Leap Wild Fish Sockeye Salmon 
70g of Panko Breadcrumbs 
1 Teaspoon of Chilli Flakes
4 Brioche Buns
4 Beetroots 
1 Lime
2 Teaspoons of Red Wine Vinegar
1 Bunch of Coriander ",Feeds: 4 People,Cooking Time (Including Preparation Time): 50 Minutes
89,THE ULTIMATE BABA GANOUSH,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/baba-ganoush,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d079c7433d4280001f44532/1561123102786/9K8A9224.jpg,"4 White Pittas
1 Garlic Bulb
4 Aubergines
1 Tablespoon of Tahini 
1 Lemon
1 Bunch of Basil
Olive Oil
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes 
90,MOB'S PAD THAI,ASIAN MOB,http://www.mobkitchen.co.uk/recipes/pad-thai,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d036a209e9d2a0001f7c787/1569314621318/9K8A9060.jpg,"4 Tbsp of Sriracha
4 Tbsp of Soy Sauce
1.5 Tsp of Sugar
4 Eggs
200g of Flat Rice Noodles
3 Skinless, Boneless Chicken Thighs
2 Garlic Cloves
400g of Beansprouts
6 Spring Onions
4 Carrots
1 Red Chilli
2 Handfuls of Peanuts
Olive Oil
1 Lime",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
91,ONE PAN CHORIZO GNOCCHI,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/one-pan-gnocchi,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5d00c4e6360cb40001806ad0/1561043152833/9K8A9018.JPG,"1 Ring of Chorizo 
1 Red Pepper
1 Orange Pepper
250g of Cherry Tomatoes 
3 Garlic Cloves 
1 Red Chilli
400g of Gnocchi
1.5 Tablespoon of Red Wine Vinegar 
1 Heaped Tablespoon of Mascarpone 
1 Bunch of Basil
Salt
Pepper
Parmesan (optional)",Feeds: 4 People,Cooking Time (Including Preparation Time): 30 Minutes 
92,MEATLESS BANGERS AND MASH,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatless-bangers,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cfe2d235b57fa0001a6f1b8/1561043377689/9K8A7794.jpg,"12 Meatless Farm Sausages (2 Packs)
2 Red Onions
1 Tablespoon of Plain Flour
400ml of Vegetable Stock
1 Tablespoon of Red Wine Vinegar
1 Bunch of Parsley
6 Potatoes
1 Tablespoon of Margarine
Olive Oil
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
93,MOB'S MASSAMAN CURRY,ASIAN MOB,http://www.mobkitchen.co.uk/recipes/massaman-curry,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cfa47d6fdf48000018ea093/1561043864567/9K8A8404-2.+FINALjpg.jpg,"4 Skinless, Boneless Chicken Thighs
4 Large Potatoes
400ml of Coconut Milk
1 Brown Onion
Handful of Dry Roasted Peanuts
1 Teaspoon of Onion Powder
2 Teaspoons of Sugar
4 Tablespoons of Soy Sauce
3 Shallots
1 Garlic Clove
2 Teaspoons of Chilli Powder
100g of Galangal
Knob of Ginger
2 Stalks of Lemongrass
2 Teaspoons of Coriander Seeds
2 Teaspoons of Ground Cumin
1 Star Anise
Small Piece of Cinnamon
1 Teaspoon of Cloves
1 Teaspoon of Cardamom (Ground)
2 Kaffir Lime Leaves
Black Pepper
1 Teaspoon of Turmeric (Ground or Whole)
400g of Rice",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour 
94,MOB'S MUSTARD CHICKEN,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/mustard-chicken,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cf660c01327f6000175428f/1561044674296/0.jpg,"8 Chicken Thighs
1 Brown Onion
400g of Smoked Bacon Lardons
1 Bunch of Rosemary 
1 Bunch of Tarragon
3 Garlic Cloves
250ml of White Wine 
2 Teaspoons of Dijon Mustard 
1 Pot of Elmlea Double 
2 Tablespoons of White Wine Vinegar
400g of Bulgur Wheat
Salt
Pepper",Feeds: 4 People,Cooking Time (Including Preparation Time): 35 Minutes 
95,CHICKEN SATAY PITTA'S,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/chicken-satay-pittas,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cf4f4a88520860001148b6a/1561044876343/9K8A7979+2.jpg,"600g of Diced Chicken Thighs
4 Pittas
2 Large Knobs of Ginger
4 Tbsp of Soy Sauce
2 Garlic Cloves
3 Tsp of Fish Sauce
400ml of Coconut Milk
5 Tbsp of Peanut Butter
Olive Oil
1 Red Chilli
1 Red Cabbage
1 Carrot
1 Bunch of Coriander
1 Bunch of Mint
1 Mango
Salt 
2 Tbsp of Vinegar
Handful of Peanuts",Feeds: 4 People,Cooking Time (Includes Preparation Time): 45 Minutes
96,HAWAIIAN PINEAPPLE CHICKEN,SUMMER MOB,http://www.mobkitchen.co.uk/recipes/hawaiian-chicken,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cf12c2a013f0a0001f8c50b/1561045123367/9K8A1042+2.JPG,"8 Skinless, Boneless Chicken Thighs
1 Can of Del Monte Pineapple Chunks 
3 Tbsp of Soy Sauce 
1 Knob of Ginger (Grated)
1 Garlic Clove (Sliced)
1 Bunch of Coriander 
1 Lime
1 Brown Onion
500g of Basmati Rice
2 Tbsp of Cornflour 
2 Red Peppers
1 Tbsp of Tomato Puree
1 Tbsp of Sriracha 
Salt 
Pepper
Olive Oil ",Feeds: 4 People,Cooking Time (Including Preparation Time): 30 Minutes
97,DECONSTRUCTED BLT SALAD,SALAD MOB,http://www.mobkitchen.co.uk/recipes/deconstructed-blt-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ce7f0559140b76e6296ff02/1561045430091/9K8A7493.jpg,"12 Rashers of Smoked Bacon
1 Loaf of Ciabatta 
3 Romaine Lettuces 
1 Bunch of Rosemary 
1 Garlic Clove 
500g of Good Quality Tomatoes
250g of Goat’s Cheese 
3 Tbsp of Balsamic Vinegar 
1 Tbsp of Chilli Flakes
1 Tbsp of Oregano 
1 Bunch of Basil
Olive Oil 
Salt
Pepper",Feeds: 4 People,Cooking Time (Including Preparation Time): 30 Minutes
98,MUSHROOM MISO BARLEY BOWL,SALAD MOB,http://www.mobkitchen.co.uk/recipes/mushroom-miso-barley-bowl,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ce7aa5853450a5fe8fd891b/1561045642300/9K8A7603-Edit.jpg,"400g of Pearl Barley 
5 Sachets of Miso Paste 
Knob of Ginger
500g of Mixed Wild Mushrooms
3 Garlic Cloves 
1 Tbsp of Soy Sauce 
1  Tsp of Chilli Flakes 
4 Tbsp of Tahini 
2 Tbsp White Wine Vinegar
1 Red Onion 
1 Bunch of Coriander 
Bag of Kale
Salt
Pepper
Olive Oil ",Feeds: 4 People,Cooking Time (Including Preparation Time): 35 Minutes
99,"CHARRED CORN, CHORIZO AND CREAMY BLUE CHEESE SALAD",SALAD MOB,http://www.mobkitchen.co.uk/recipes/charred-corn-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ce564dc3200ac0001203edc/1561045876564/9K8A7452.jpg,"6 Cobs of Corn 
1 Chorizo Ring
1 Bunch of Spring Onions
3 Sweet Peppers
1 Gem Lettuce 
1 Handful of Whole Almonds 
4 Tbsp of Red Wine Vinegar
1 Bunch of Parsley
250g of Saint Agur Blue Cheese
Olive Oil 
Salt
Pepper",Feeds: 4 People,Cooking Time (Including Preparation Time): 40 Minutes
100,ORZO PRIMAVERA,SUMMER MOB,http://www.mobkitchen.co.uk/recipes/primavera-orzo,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ce2a2a9a265cb00011d7057/1562045395926/9K8A1291.jpg,"200g of Asparagus
1 Brown Onion 
1 Red Chilli
3 Garlic Cloves
400g of Orzo
2 Cubes of Vegetable Stock
200g of Broad Beans
200g of Petit Pois
1 Bunch of Basil
1 Bunch of Mint
100g of Parmesan 
250g of Mozzarella 
Black Pepper
Olive Oil
Salt",Feeds: 4 People,Cooking Time (Includes Preparation Time): 25 Minutes
101,CHARGRILLED ASPARAGUS CARBONARA,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/asparagus-carbonara,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cde964182ebdd0001c40fb4/1561046213089/9K8A1171.jpg,"200g of Asparagus
5 Eggs
100g of Parmesan 
1 Lemon
300g of Bacon
1 Bunch of Thyme 
3 Garlic Cloves
400g of Linguine 
Salt
Pepper
Olive oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 25 Minutes
102,BBQ CHICKEN WINGS,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/bbq-chicken-wings,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cdbcce3e5e5f0c2b2c2b730/1561046391465/9K8A1211.jpg,"2kg of Chicken Wings
1 Bottle of Bull’s Eye BBQ Sauce
1 Large Garlic Bulb 
1 Knob of Ginger
1 Tbsp of Chipotle Flakes
1 Bunch of Chives
Olive Oil 
Salt ",Feeds: 4 People,Cooking Time (Includes Prep Time): 1 Hour
103,TUNA BEAN PASTA,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/tuna-bean-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cd929dcee6eb006715d7de6/1561046606318/9K8A0965+2.jpg,"2 Tins of Tuna
2 Tins of Cannellini Beans 
1 Jar of Pitted Green Olives
Handful of Capers
3 Garlic Cloves
2 Tbsp of Chilli Flakes
2 Bunches of Parsley
400g of Spaghetti 
1 Lemon
Olive Oil
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 25 Minutes 
104,CHEESE STRAWS,MOB MUNCHIES,http://www.mobkitchen.co.uk/recipes/cheese-straws,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cd401ceef7ab9000153690d/1561046767482/090395F7-A3A5-468E-9D22-36EA3769A3DA.JPG,"4 Sheets of Puff Pastry
2 Handfuls of Flour
Butter (small amount for brushing)
4 Tbsp of Mango Chutney
2 Tsp of Fennel Seeds
2 Tsp of Caraway Seeds
2 Tsp of Coriander Seeds
Pinch of Salt
100g of Grated Cheddar
3 Tbsp of Chipotle Paste
100g of Mozzarella
50g of Parmesan",Feeds: 4 People,Cooking Time (Includes Preparation Time): 45 Minutes
105,SWEETCORN LEMONGRASS AND GINGER FRITTERS,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/sweetcorn-fritters,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cd2ba43ce119100015c132a/1561047104785/9K8A0433.jpg,"1 Fat Lemongrass Stick
A Small Bunch of Coriander
2 Avocados
2 Limes
Big Knob of Ginger
325g Can of Sweetcorn, Drained
50g of Self-Raising Flour
2 Tbsp of Milk
1/2 Tsp of Cayenne Pepper (plus extra to serve)
10 Eggs
225g Pack of Halloumi, Sliced",Feeds: 4 People,Cooking Time (Includes Preparation Time): 50 minutes
106,CRISPY SESAME BEEF RAMEN,ASIAN MOB,http://www.mobkitchen.co.uk/recipes/beef-ramen,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cd021c6eef1a108d73dbd4d/1561047315670/9K8A0598.jpg,"500g of Beef Mince
4 Eggs
2 Pak Choi
3 Tsp of Chilli Flakes
Olive Oil
1 Tbsp of Sesame Oil
2 Garlic Cloves
1 Knob of Ginger
6 Spring Onions
1 Litre of Chicken Stock
2 Tbsp of Soy Sauce
500g of Egg Noodles",Feeds: 4 People,Cooking Time (Includes Preparation Time): 35 Minutes
107,MEATLESS CHIPOTLE BURGER,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatless-chipotle-burger,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ccc361a3786be0001b62b1c/1561034486649/78260BE3-E21E-456A-B138-A6F55121B8FC.JPG,"452g of Meatless Farm Burgers
4 Teaspoons of Chipotle Paste
4 Portobello Mushrooms
1 Bunch of Basil
1 Bunch of Chives
1 Bunch of Tarragon
2 Tablespoons of Walnuts
2 Garlic Cloves
1 Lemon
2 Tomatoes
4 Ciabatta Burger Buns
Salt 
Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 45 Minutes
108,CREAMY CHICKEN AND TOMATO ORZO,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/chickentomatoorzo,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cc97b3fd90fb20001664e5c/1560241536744/9K8A0634-2.jpg,"8 Chicken Thighs
2 Tsp of Rosemary
1 Red Chilli
400g of Cherry Tomatoes
2 Cloves of Garlic
400g of Orzo
200ml of Chicken Stock
400g of Passata
1/2 Pot of Elmlea Single
Salt
Pepper
Handful of Basil
Parmesan (to sprinkle on at the end)",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
109,HALLOUMI BAKE,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/halloumibake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cc6fea361ec1100018b841b/1561033081223/EDITED+PIC.jpg,"2 Blocks of Halloumi
100g of Kalamata Olives
1 Teaspoon of Capers
2 Aubergines
2 Brown Onions
2 Fennel Bulbs
800g of Passata
4 Teaspoons of Fennel Seeds
2 Teaspoons of Chilli Flakes
3 Peppers 
1 Bunch of Basil
1 Cube of Vegetable Stock
2 Courgettes
Salt 
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 35 Minutes
110,MEATLESS MOUSSAKA,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/meatlessmoussaka,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cc1ae799140b7b5a8157e43/1561032865606/9K8A0145.jpg,"400g of Meatless Farm Mince
2 Red Onions
1 Bunch of Parsley 
4 Garlic Cloves
2 Teaspoons of Cinnamon
2 Teaspoons of Oregano
2 Tins of Tomatoes
4 Aubergines
300g of Cashew Nuts
200ml of Oat Milk
2 Tablespoons of Tahini
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
111,MISO SALMON BURGERS,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/misosalmonburgers,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cb878386e9a7f2692fe8ec7/1561032558096/9K8A0117-Edit.jpg,"480g of Skinless, Boneless Salmon
2 Tablespoons of White Miso
1 Lime, Zest and Juice
2 Tablespoons of Soy Sauce
50g of Panko Breadcrumbs
1 Cucumber
1 Teaspoon of Salt
2 Garlic Cloves
2 Tablespoons of Sriracha 
1 Teaspoon of Caster Sugar
3 Tablespoons of Mayonnaise
4 Brioche Buns
Knob of Ginger",Feeds: 4 People,Cooking time (Includes preparation time): 35 minutes
112,CHICKEN SOBA NOODLE SALAD,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/chicken-soba-noodle-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cbe029eec212daacff5fe8a/1561032228177/57485389_672460869858188_3682535578412253184_o-2.jpg,"400g of Soba Noodles
4 Chicken Breasts
2 Peppers (Red, Yellow or Orange)
1 Cucumber (Peeled)
2 Avocados
1 Red Chilli
2 Teaspoons of Sesame Oil
3 Tablespoons of Soy Sauce 
1 Lime
1 Bunch of Coriander
1 Bunch of Basil
4 Tablespoons of Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
113,BERTOLLI PANCETTA AND PORCINI RISOTTO,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/pancettaporcinirisotto,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cb871e99140b77d15429183/1561032098102/9K8A9730.jpg,"100g of Dried Porcini Mushrooms
200g of Pancetta
1 Brown Onion
2 Garlic Cloves
Bertolli Spread
400g of Risotto Rice
200g of Parmesan
Handful of Parsley
Salt
Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
114,YIK YAKKI CHICKEN YAKKITORI,ASIAN MOB,http://www.mobkitchen.co.uk/recipes/yik-yakki-chicken-yakkitori,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5caca2845b0a3d0001af156d/1561031844076/9K8A0077-2.jpg,"100ml of Soy Sauce
100ml of Mirin
50ml of Water
2 Tablespoons of Caster Sugar 
2 Teaspoons of Cornflour
5 Spring Onions
500g of Boneless Skinless Chicken Thighs
1 Tablespoon of Toasted Sesame Seeds",Feeds: 4 People,Cooking time (Includes preparation time): 40 minutes
115,BEEF BARBACOA TACO,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/beefbarbacoa,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cb46693971a185dbada1557/1561031661651/9K8A0105.jpg,"2 Red Onions
6 Garlic Cloves
2 Tomatoes
2 Teaspoons of Cumin Seeds
1 Teaspoon of Smoked Paprika
1 Teaspoon of Oregano
2 Tablespoons of Chipotle Paste
50ml of Veg Oil
1kg Beef Brisket
500ml of Chicken Stock
1 Lime
Tortillas, to serve (plus guac, rice, salsa, sour cream - whatever you fancy)",Feeds: 4 People,Cooking time (Includes preparation time): 4 hours
116,BERTOLLI PRAWN SPAGHETTI,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/bertolliprawnspaghetti,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cb44c1cfa0d60178b29d7b1/1561031096609/PRAWNSPAG_BERTOLLI_PIC.jpg,"1 Garlic Clove
1 Bunch of Parsley 
Bertolli Spread
1 Teaspoon of Chilli Flakes
500g of Prawns
100ml of White Wine
400g of Spaghetti
Pepper
Salt
1 Lemon",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
117,MOB'S MEXICAN LASAGNE,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/mexicanlasagne,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5caf55bfe5e5f0c75731c523/1561031025666/Z49A0062+final.jpg,"1 Teaspoon of Cumin
2 Teaspoons of Smoked Paprika
2 Garlic Cloves
1 Brown Onion
1 Bunch of Coriander
1 Tablespoon of Tomato Purée
500g of Sweetcorn
800g of Black Beans
2 Tins of Tomatoes
4 Soft Tortilla Wraps
1 Block of Goats Cheese
500g of Cheddar Cheese
1 Red Chilli
1 Red Bell Pepper
Olive Oil
Black Pepper",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
118,MUSHROOM & LAMB KOFTAS,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/mushroom-and-lamb-koftas,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5caddf98c4eaa70001615508/1561030794642/Z49A1763.jpg,"500g of Lamb Mince
500g of Closed Cup Mushrooms
1 Red Onion
Garlic
1 Bunch of Basil
1 Bunch of Parsley 
500g of Passata 
Harissa Paste
500g of Cous Cous",Feeds: 4 People,Cooking Time (includes preparation time): 50 Minutes
119,MOULES MARINIÈRE SPAGHETTI,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/moulesmariniere,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5cab3f4a971a182374c4c3d8/1561030520310/9K8A9980.jpg,"Elmlea Double
500g of Mussels
Knob of Butter
2 Red Onions
Handful of Thyme
2 Large Handfuls of Parsley
Olive Oil
2 Garlic Cloves
1 Lemon
Glass of White Wine
Salt 
Pepper
400g of Spaghetti",Feeds: 4 People,Cooking Time (Includes Preparation Time): 30 Minutes
120,HASSLEBACK POTATOES THREE WAYS,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/hasslebackpotatoes,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ca7407f4785d3a4211bb605/1566898369097/9K8A9771.jpg,"2 Red Bell Peppers
1 Red Onions
2 Lemon
2 Red Chillies
Olive Oil
Pepper
Salt
1 Teaspoon of Paprika
1 Teaspoon of Oregano 
1 Garlic Clove
2 Tablespoons of Red Wine Vinegar
Pack of Feta
Handful of Coriander
Handful of Mint
1 Green Chilli
4 Tablespoons of Plain Yoghurt
Jar of Mango Chutney
Handful of Coriander
Handful of Parsley
1 Red Chilli
1 Red Onion
1 Garlic Clove
Salt
Pepper
Olive Oil 
4 Tablespoons of Red Wine Vinegar
500g of Steak",na,Cooking Time (Includes Preparation Time):  1 Hour
121,MUSHROOM & PORK LARB BURRITO,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/mushroom-and-pork-larb-burrito,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ca4b2e0652dea6fb0ee5652/1561030010309/Z49A1668.jpg,"2 Tablespoons of Vegetable Oil 
500g of Pork Mince
400g of Chestnut Mushrooms
Knob of Ginger
Large Handful of Coriander
2 Red Chillies
Handful of Mint
1 Red Onion
2 Teaspoons of Fish Sauce
2 Teaspoons of Soy Sauce
4 Tortilla Wraps
400g of Rice
1 Tin of Kidney Beans
6 Tomatoes
Sriracha
Olive Oil
Salt
Pepper",na,Cooking Time (Includes Preparation Time): 45 Minutes
122,MOB'S PERI PERI CRUNCH WRAP,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/mobs-peri-peri-crunch-wrap,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ca36ed9a4222f904203ca6b/1561029567651/9K8A9890.jpg,"1 Whole Chicken
2 Teaspoons of Oregano
3 Teaspoons of Paprika
Salt 
Pepper
Olive Oil
4 Red Bell Peppers
2 Lemons
3 Red Onions
2 Red Chilli’s
2 Garlic Cloves
8 Tortilla Wraps
100g of Mozzarella
100g of Cheddar
400g of Rice
1 Tin of Kidney Beans
Handful of Coriander
A Dollop of Sour Cream
2 Tablespoons of Red Wine Vinegar",Feeds: 4 People,Cooking Time (Includes Preparation Time): 2.5 Hours
123,VEGGIE SATAY NOODLES,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/veggie-satay-noodles,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5c9b816324a694dfe95ed3c5/1561029163386/9K8A2237.jpg,"3 Bell Peppers
100g of Spring Onions
100g of Mangetout
2 Carrots
2 Garlic Cloves
Knob of Ginger
1 Tin of Coconut Milk
1 Tablespoon of Peanut Butter
2 Teaspoons of Soy Sauce
1 Lime
250g of Egg Noodles
Olive Oil",na,Cooking Time (Includes Preparation Time): 30 Minutes
124,MIGHTY MUSHROOM MAC & CHEESE,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/mighty-mushroom-mac-and-cheese,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5c9b7aa8eef1a1e10be3d991/1561029036708/Z49A1720.jpg,"1 Bunch of Parsley 
1 Bunch of Thyme 
300g of Chestnut Mushrooms 
500g of Macaroni 
2 Balls of Mozzarella 
150g of Taleggio 
2 Garlic Cloves 
1 Pint of Whole Milk 
1 Lemon 
3 Tablespoons of Plain Flour ",na,Cooking Time (Includes Preparation Time): 40 Minutes 
125,MEDITERRANEAN TRAYBAKE,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/mediterranean-traybake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5c98e864971a182977a4f561/1567417769335/Z49A9973.jpg,"100g of Asparagus
2 Red Onions
Handful of Basil
1 Loaf of Ciabatta
2 Red Bell Peppers
500g of Cherry Tomatoes (On Vine)
1 Jar of Kalamata Olives
Small Handful of Thyme
1 Lemon
4 Garlic Cloves
2 Teaspoons of Chilli Flakes
100g of Artichoke Hearts
Salt 
Pepper 
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
126,MOB'S BREAKFAST FRITTATA,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/mobs-breakfast-frittata,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5c8bb677e5e5f0b83302e1d7/1567417789043/Z49A9948.jpg.jpeg,"300g of Bacon
8 Sausages
300g of Mushrooms
400g of Plum Tomatoes
1 Garlic Clove
Salt 
Pepper
1 Bag of Spinach
10 Eggs
50ml Of Whole Milk
Sourdough Bread",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
127,MOB'S CAPRESE FRITTATA,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/mobs-caprese-frittata,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5c923ed59140b7d5faf924f1/1571654130190/Z49A9986.jpg,"2 Packs of Cherry Tomatoes
2 Garlic Cloves
1 Red Chilli
1 Bag of Spinach
Handful of Basil
8 Eggs
50ml of Whole Milk
2 Balls of Mozzarella
Balsamic Glaze
Olive Oil
Black Pepper
Salt",Feeds: 4 People,Cooking Time (Includes Preparation Time): 40 Minutes
128,MOB'S COURGETTE PARMIGIANA,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/mobs-courgette-parmigiana,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5c8f7d798165f587293a8765/1561027052766/9K8A2161.jpg,"400g of Plain Flour
400g of Bacon
1 Fennel Bulb
1 Brown Onion
2 Tins of Chopped Tomatoes 
2 Teaspoons of Chilli Flakes
Handful of Basil
2 Balls of Mozzarella 
300g of Parmesan
4 Courgettes
Salt 
Black Pepper
Olive Oil",Feeds: 4 People,Cooking Time (Includes Preparation Time): 1 Hour
